N,P,K,pH,Organic_Carbon,Temperature,Humidity,Rainfall,Crop,Soil_Type,Fertilizer
54.0,58.0,14.0,5.84,2.37,24.0,70.0,1150.0,Rice,Clay,NPK 15-15-15
44.0,9.0,43.0,6.32,1.79,29.0,80.0,1500.0,Cassava,Loamy,DAP
8.0,40.0,21.0,4.66,1.34,33.0,88.0,1900.0,Rice,Sandy,DAP
6.0,38.0,43.0,5.08,1.77,28.0,78.0,1450.0,Sorghum,Loamy,Organic Compost
10.0,56.0,26.0,7.08,2.07,25.0,70.0,1200.0,Cassava,Clay,NPK 20-10-10
58.0,35.0,30.0,4.79,0.74,34.0,90.0,2000.0,Millet,Sandy,NPK 20-10-10
46.0,14.0,48.0,6.61,1.32,27.0,74.0,1300.0,Beans,Loamy,Potash
8.0,23.0,29.0,5.36,2.18,26.0,71.0,1100.0,Millet,Silt,Potash
58.0,36.0,21.0,5.86,1.27,28.0,78.0,1450.0,Sorghum,Loamy,Urea
33.0,5.0,17.0,5.51,1.64,32.0,86.0,1800.0,Rice,Sandy,Organic Compost
22.0,9.0,24.0,5.74,1.68,27.0,74.0,1300.0,Millet,Loamy,NPK 15-15-15
30.0,49.0,29.0,7.02,0.87,24.0,68.0,1050.0,Rice,Clay,Superphosphate
48.0,8.0,8.0,5.54,1.22,33.0,87.0,1900.0,Millet,Sandy,Organic Compost
38.0,20.0,14.0,6.48,1.17,27.0,75.0,1350.0,Millet,Loamy,Urea
14.0,28.0,7.0,6.17,0.55,26.0,72.0,1200.0,Rice,Silt,Potash
40.0,20.0,45.0,6.82,0.55,28.0,78.0,1450.0,Tomato,Loamy,Organic Compost
18.0,59.0,49.0,7.78,2.16,24.0,70.0,1150.0,Millet,Clay,Organic Compost
35.0,6.0,22.0,7.06,1.05,29.0,80.0,1500.0,Cassava,Loamy,Potash
52.0,53.0,51.0,5.25,1.54,34.0,91.0,2000.0,Beans,Sandy,Urea
19.0,32.0,40.0,4.61,1.1,27.0,74.0,1300.0,Sorghum,Silt,Potash
12.0,36.0,51.0,5.42,2.38,28.0,78.0,1450.0,Tomato,Loamy,NPK 20-10-10
18.0,31.0,26.0,6.58,1.02,25.0,70.0,1200.0,Rice,Clay,NPK 15-15-15
27.0,24.0,38.0,4.68,1.36,33.0,88.0,1900.0,Tomato,Sandy,Potash
44.0,28.0,51.0,6.24,2.25,27.0,75.0,1350.0,Maize,Loamy,Urea
25.0,16.0,12.0,6.59,2.18,26.0,72.0,1200.0,Maize,Silt,DAP
20.0,54.0,44.0,5.67,0.87,31.0,84.0,1750.0,Millet,Clay,NPK 20-10-10
49.0,39.0,53.0,7.2,2.11,34.0,90.0,2000.0,Millet,Sandy,DAP
22.0,37.0,48.0,4.87,1.42,28.0,78.0,1450.0,Cassava,Loamy,Superphosphate
51.0,37.0,23.0,4.76,1.47,25.0,70.0,1200.0,Beans,Clay,Potash
57.0,55.0,46.0,7.05,0.77,32.0,85.0,1800.0,Sorghum,Sandy,NPK 20-10-10
28.0,47.0,45.0,6.23,0.66,27.0,74.0,1300.0,Tomato,Loamy,NPK 15-15-15
30.0,41.0,41.0,6.91,1.96,26.0,72.0,1200.0,Maize,Silt,Potash
29.0,16.0,10.0,6.02,1.49,28.0,78.0,1450.0,Millet,Loamy,NPK 15-15-15
18.2,30.8,25.9,4.85,2.55,33.2,83.2,605.0,Millet,Sandy,NPK 20-10-10
58.9,47.0,54.6,6.14,0.9,29.1,43.5,1724.0,Maize,Clay,Organic Compost
15.6,34.1,31.8,7.38,0.83,27.3,42.4,647.0,Millet,Sandy,NPK 20-10-10
48.6,21.7,23.6,6.24,0.82,20.6,66.2,763.0,Tomato,Silt,Potash
43.0,37.4,21.1,7.58,2.17,25.7,55.9,1492.0,Cassava,Silt,Potash
8.3,41.1,35.9,7.11,2.12,27.2,71.3,624.0,Rice,Silt,Urea
32.3,36.3,44.9,6.85,1.62,29.2,56.7,449.0,Tomato,Loamy,NPK 15-15-15
25.2,43.8,17.8,4.72,1.02,23.9,76.4,1291.0,Rice,Silt,Potash
25.1,42.2,15.0,4.58,0.6,32.4,65.4,658.0,Tomato,Silt,Potash
37.2,26.7,24.0,5.62,1.79,25.2,44.8,589.0,Rice,Silt,NPK 15-15-15
42.1,23.4,53.7,7.38,1.98,27.0,55.0,554.0,Beans,Loamy,NPK 20-10-10
11.1,14.2,22.4,5.15,2.28,33.2,79.6,1091.0,Cassava,Sandy,NPK 20-10-10
24.5,7.5,17.5,4.65,1.49,24.6,47.9,565.0,Sorghum,Sandy,Superphosphate
46.9,32.4,22.6,6.69,0.45,37.2,66.5,1652.0,Rice,Silt,NPK 20-10-10
52.3,36.6,32.4,5.49,1.13,28.4,64.1,435.0,Tomato,Loamy,Potash
18.0,35.8,16.7,6.99,1.02,31.2,80.0,1630.0,Wheat,Loamy,NPK 20-10-10
17.7,9.6,31.3,5.87,2.23,34.2,57.4,1925.0,Sorghum,Silt,NPK 20-10-10
18.8,47.3,14.9,4.67,1.36,37.8,89.0,1598.0,Sorghum,Silt,NPK 20-10-10
41.8,33.3,52.4,6.95,1.22,19.9,81.1,820.0,Rice,Clay,Organic Compost
13.2,42.9,14.4,5.16,1.72,35.5,50.8,897.0,Beans,Silt,NPK 20-10-10
20.0,9.3,5.4,5.35,0.69,31.6,46.7,1210.0,Maize,Sandy,Superphosphate
16.4,41.8,38.0,7.23,0.69,20.5,91.0,1036.0,Millet,Silt,Urea
47.8,60.1,32.0,7.92,0.45,29.1,74.9,569.0,Rice,Clay,Organic Compost
53.5,37.6,52.1,7.48,1.43,33.7,41.0,575.0,Tomato,Loamy,NPK 20-10-10
22.0,34.8,38.1,7.71,1.73,26.3,60.6,1081.0,Maize,Loamy,NPK 15-15-15
27.1,18.4,17.9,7.26,2.2,20.1,43.7,1351.0,Beans,Silt,Superphosphate
21.0,14.0,46.7,5.11,1.03,21.1,46.4,434.0,Rice,Silt,Superphosphate
6.6,22.7,25.4,5.96,1.1,28.1,88.1,1762.0,Rice,Sandy,DAP
12.5,22.1,17.5,4.68,1.22,28.5,45.6,1734.0,Beans,Sandy,NPK 20-10-10
16.3,48.3,50.8,8.12,2.16,33.6,75.3,1646.0,Beans,Loamy,Urea
29.6,44.0,27.4,5.92,1.81,23.3,47.7,1165.0,Sorghum,Silt,NPK 20-10-10
35.4,35.4,33.8,5.9,1.91,23.9,92.2,1866.0,Rice,Clay,Organic Compost
30.5,43.6,35.4,7.48,1.57,30.7,55.8,1576.0,Maize,Silt,NPK 20-10-10
56.2,25.5,45.8,4.85,2.0,19.7,91.5,620.0,Tomato,Clay,Organic Compost
22.8,28.5,28.9,8.0,0.96,29.8,45.2,1386.0,Millet,Sandy,NPK 15-15-15
22.2,19.0,20.7,7.33,2.16,27.8,73.0,1890.0,Sorghum,Sandy,DAP
11.7,35.6,25.6,7.36,1.88,24.7,89.4,1620.0,Wheat,Silt,Urea
21.2,14.6,14.2,7.96,1.36,25.7,80.1,1285.0,Maize,Silt,Superphosphate
32.6,28.2,54.4,7.16,2.49,20.4,86.8,1419.0,Millet,Loamy,NPK 15-15-15
41.5,12.5,31.5,7.55,1.05,27.2,64.3,883.0,Sorghum,Loamy,DAP
24.6,61.9,56.9,5.55,2.24,20.1,95.0,1465.0,Millet,Clay,Organic Compost
57.7,21.2,30.1,5.03,2.11,22.0,90.1,1450.0,Wheat,Clay,NPK 15-15-15
23.2,29.0,12.2,7.64,0.53,34.0,91.0,1635.0,Rice,Sandy,Potash
6.2,11.1,8.7,6.37,2.04,30.6,86.8,648.0,Millet,Sandy,NPK 15-15-15
19.4,37.8,49.2,6.76,0.52,30.3,42.3,1815.0,Wheat,Silt,Urea
7.8,10.5,34.4,6.2,2.12,30.7,71.5,632.0,Cassava,Sandy,NPK 20-10-10
22.3,26.0,24.5,7.98,0.73,28.2,62.2,1159.0,Sorghum,Sandy,NPK 15-15-15
24.0,25.1,30.4,6.76,1.8,26.2,62.5,748.0,Beans,Loamy,NPK 15-15-15
6.1,17.6,19.2,5.33,1.66,29.3,78.6,1437.0,Sorghum,Sandy,NPK 15-15-15
45.9,35.6,30.6,6.82,1.19,28.3,80.5,1818.0,Sorghum,Loamy,Potash
34.4,46.4,25.5,7.6,1.49,20.3,44.0,1747.0,Millet,Loamy,DAP
15.0,10.2,14.4,7.25,0.43,34.5,87.1,996.0,Maize,Sandy,NPK 15-15-15
8.6,15.9,33.8,8.18,2.1,24.2,77.8,1529.0,Sorghum,Sandy,NPK 20-10-10
8.5,16.8,30.1,5.11,0.76,34.7,94.4,1290.0,Tomato,Silt,NPK 20-10-10
13.9,26.8,24.5,4.8,2.06,26.7,65.8,641.0,Beans,Silt,Urea
6.3,12.0,13.8,6.31,1.69,27.9,44.6,790.0,Beans,Sandy,NPK 15-15-15
35.3,36.1,40.0,4.72,1.21,28.8,58.6,1751.0,Tomato,Silt,NPK 15-15-15
55.8,41.2,58.2,6.67,2.27,24.8,67.4,1250.0,Millet,Clay,Organic Compost
32.5,23.9,10.3,5.75,0.82,18.5,91.0,1117.0,Cassava,Sandy,Potash
5.2,13.3,26.1,6.84,2.56,30.4,66.3,1618.0,Sorghum,Sandy,NPK 20-10-10
60.5,52.8,56.4,4.92,2.01,26.8,70.4,1447.0,Tomato,Clay,Organic Compost
13.6,27.0,27.5,5.78,0.67,18.8,82.8,1184.0,Beans,Sandy,NPK 20-10-10
49.1,25.3,41.3,4.81,1.62,34.0,90.9,1716.0,Cassava,Silt,NPK 15-15-15
16.7,41.0,42.7,7.36,2.3,32.8,84.0,478.0,Beans,Loamy,Urea
30.7,5.1,20.4,7.01,0.47,26.0,89.3,1475.0,Wheat,Sandy,DAP
34.6,55.8,32.6,6.68,1.27,23.5,88.8,700.0,Cassava,Clay,Superphosphate
50.1,53.9,61.9,5.6,1.3,20.7,71.6,1996.0,Maize,Clay,Organic Compost
36.5,58.4,40.9,5.0,1.2,19.3,51.1,428.0,Sorghum,Clay,Organic Compost
22.4,25.7,48.3,7.28,1.59,23.7,89.3,776.0,Tomato,Silt,NPK 15-15-15
30.2,39.2,32.8,6.92,1.06,22.8,57.7,649.0,Beans,Silt,NPK 15-15-15
21.8,28.8,28.5,6.12,1.45,37.9,77.1,1703.0,Maize,Sandy,NPK 15-15-15
20.0,36.2,16.4,6.92,2.5,28.3,63.8,457.0,Millet,Loamy,NPK 20-10-10
21.7,30.3,22.8,6.18,1.54,24.3,42.8,579.0,Wheat,Clay,Organic Compost
37.3,16.7,20.7,5.96,1.32,18.0,46.2,1780.0,Wheat,Silt,NPK 15-15-15
34.0,38.1,52.8,7.61,0.97,24.4,53.3,1168.0,Maize,Clay,Organic Compost
26.2,52.0,14.1,6.2,1.97,21.0,42.6,621.0,Maize,Loamy,Potash
10.6,5.9,8.3,6.79,0.93,29.4,72.5,1759.0,Wheat,Sandy,NPK 15-15-15
38.6,19.0,45.2,7.67,0.96,36.4,65.0,1365.0,Millet,Loamy,DAP
29.4,14.6,29.0,6.72,0.88,26.3,57.5,525.0,Maize,Sandy,Superphosphate
19.1,43.2,42.4,7.23,1.1,35.8,72.7,602.0,Cassava,Loamy,Urea
10.2,20.2,34.8,4.51,0.44,37.9,72.2,603.0,Tomato,Sandy,NPK 20-10-10
42.5,46.1,31.5,4.69,1.71,23.9,76.5,1738.0,Wheat,Clay,Organic Compost
11.9,31.2,12.6,6.76,1.62,25.9,77.3,1561.0,Sorghum,Sandy,NPK 20-10-10
54.3,30.0,34.1,4.55,2.15,28.4,62.4,551.0,Millet,Loamy,Potash
48.7,26.3,60.4,5.16,0.84,35.2,90.2,739.0,Cassava,Clay,Organic Compost
44.9,23.9,29.7,7.24,2.01,33.7,71.3,567.0,Tomato,Silt,Potash
53.5,24.2,28.6,7.25,0.45,37.6,60.7,1551.0,Millet,Clay,Organic Compost
33.4,45.6,44.4,6.01,1.72,36.7,65.7,715.0,Cassava,Clay,Organic Compost
17.6,19.0,41.4,5.76,2.5,22.9,45.4,1606.0,Cassava,Loamy,NPK 20-10-10
20.7,20.0,34.4,6.23,0.97,18.9,66.5,1935.0,Maize,Loamy,DAP
24.6,30.6,32.4,7.33,2.33,36.0,94.2,1972.0,Cassava,Clay,Organic Compost
25.8,32.8,43.2,4.86,2.26,30.3,69.8,664.0,Wheat,Clay,Organic Compost
48.6,37.1,43.6,5.6,1.22,26.1,81.8,1636.0,Rice,Loamy,NPK 20-10-10
25.1,57.6,24.2,5.48,2.26,21.6,62.7,1120.0,Beans,Clay,Organic Compost
43.8,44.7,22.3,6.46,0.95,22.9,48.9,1904.0,Tomato,Silt,Potash
20.5,19.7,20.9,6.49,1.36,20.6,46.9,1924.0,Millet,Sandy,DAP
14.9,31.3,16.7,5.44,0.47,20.4,90.4,914.0,Beans,Silt,NPK 20-10-10
17.0,21.0,10.6,8.16,2.2,32.8,65.8,645.0,Cassava,Sandy,NPK 20-10-10
22.1,34.4,53.4,6.8,2.05,33.9,51.7,1878.0,Maize,Clay,Organic Compost
12.1,54.7,24.1,4.73,1.41,20.6,48.4,1412.0,Tomato,Loamy,Urea
14.6,26.8,18.8,6.94,1.72,27.5,92.3,948.0,Beans,Sandy,NPK 20-10-10
30.4,6.2,18.5,7.8,2.05,37.8,69.2,1456.0,Tomato,Sandy,Superphosphate
27.8,43.8,29.3,6.58,1.98,28.2,89.9,1071.0,Beans,Loamy,NPK 20-10-10
29.6,30.9,17.4,4.84,1.87,31.1,76.5,432.0,Maize,Loamy,Potash
40.7,44.1,18.4,6.97,0.68,23.5,47.6,854.0,Rice,Silt,Potash
16.5,30.8,37.5,8.03,1.74,23.1,74.4,913.0,Beans,Silt,Urea
48.8,21.0,36.8,7.74,1.74,26.9,91.5,1766.0,Cassava,Clay,Organic Compost
28.6,34.6,22.0,5.4,2.41,36.5,86.4,1965.0,Sorghum,Silt,NPK 15-15-15
40.0,28.2,27.2,5.39,1.82,23.8,54.2,1338.0,Millet,Silt,Potash
47.1,49.0,19.2,4.53,1.14,34.0,86.2,621.0,Rice,Loamy,Potash
36.4,61.9,28.1,5.07,1.33,30.4,91.3,1969.0,Wheat,Clay,Organic Compost
13.1,31.5,24.9,4.91,2.23,21.5,63.3,1283.0,Sorghum,Sandy,NPK 20-10-10
35.4,49.7,50.0,6.41,0.61,32.6,93.7,909.0,Maize,Silt,NPK 20-10-10
22.2,48.2,34.8,7.41,2.23,34.4,62.9,914.0,Rice,Clay,Organic Compost
33.1,50.4,18.2,7.75,0.61,21.1,69.4,508.0,Tomato,Loamy,Superphosphate
18.1,28.2,6.0,6.91,2.21,21.4,48.1,1777.0,Wheat,Sandy,NPK 20-10-10
54.4,23.9,36.6,7.23,0.97,33.0,67.7,1600.0,Sorghum,Clay,Organic Compost
21.4,21.0,44.3,4.94,0.59,21.5,49.6,1717.0,Maize,Loamy,NPK 15-15-15
25.8,47.4,38.8,5.95,2.33,37.5,88.0,708.0,Beans,Clay,Organic Compost
24.4,43.6,36.4,6.54,2.22,32.2,41.5,479.0,Tomato,Loamy,NPK 20-10-10
23.2,30.0,44.6,7.56,1.63,25.7,54.9,1235.0,Cassava,Loamy,NPK 15-15-15
41.1,14.8,12.0,5.29,2.37,30.9,49.5,1824.0,Sorghum,Loamy,Superphosphate
47.3,10.5,17.0,6.67,0.83,31.6,51.8,559.0,Cassava,Silt,Superphosphate
10.3,9.0,30.8,5.69,1.19,19.1,59.7,824.0,Cassava,Sandy,NPK 20-10-10
50.2,52.0,16.3,4.9,0.65,30.4,46.7,1764.0,Rice,Loamy,Potash
20.8,34.9,6.3,5.98,1.11,37.0,71.7,1690.0,Millet,Sandy,Potash
28.9,28.7,48.8,5.91,1.27,29.7,47.0,914.0,Beans,Silt,NPK 15-15-15
44.4,32.8,23.1,6.01,1.35,30.7,91.0,1892.0,Wheat,Silt,Potash
26.9,31.9,27.4,6.94,1.62,24.4,59.0,1006.0,Maize,Silt,Urea
16.7,11.4,21.9,7.3,0.97,34.5,91.0,1356.0,Sorghum,Sandy,NPK 20-10-10
59.7,36.5,58.8,6.64,0.41,18.8,77.4,1300.0,Beans,Clay,NPK 15-15-15
48.6,33.3,32.0,4.52,2.13,24.6,88.3,997.0,Tomato,Loamy,Potash
9.8,28.2,19.9,6.49,2.52,37.3,87.1,700.0,Maize,Sandy,NPK 20-10-10
23.7,12.2,42.1,6.28,1.64,37.6,73.4,1080.0,Beans,Silt,DAP
8.6,28.8,30.1,5.55,1.07,35.5,41.3,1233.0,Cassava,Sandy,NPK 20-10-10
19.0,40.7,28.2,6.79,0.49,27.2,68.7,743.0,Tomato,Loamy,Urea
34.5,24.1,59.8,6.0,2.18,37.5,44.4,1443.0,Rice,Clay,Organic Compost
26.0,26.1,9.5,6.48,2.59,37.2,42.2,1529.0,Tomato,Silt,Potash
21.9,59.3,55.2,4.93,0.53,34.7,48.6,1256.0,Beans,Clay,Organic Compost
24.7,26.7,10.7,8.08,1.08,21.8,55.7,1943.0,Sorghum,Silt,Potash
42.9,49.0,43.4,7.99,0.68,33.9,70.0,1270.0,Rice,Silt,Organic Compost
49.6,40.3,39.2,5.93,1.2,25.8,44.9,524.0,Rice,Clay,Organic Compost
47.1,33.7,9.5,5.08,0.85,37.5,52.0,1225.0,Tomato,Silt,Potash
22.2,14.1,18.6,4.73,0.83,29.4,90.2,1260.0,Millet,Loamy,Superphosphate
41.6,33.9,44.3,8.01,1.17,19.8,52.4,1101.0,Millet,Silt,NPK 20-10-10
28.1,21.2,10.5,5.69,1.84,31.5,63.9,766.0,Millet,Sandy,Potash
52.3,20.1,16.6,6.34,1.54,28.2,64.0,1992.0,Beans,Loamy,Potash
17.7,7.0,22.8,5.34,1.8,19.0,94.0,1150.0,Sorghum,Sandy,NPK 20-10-10
14.6,47.4,39.9,7.39,1.34,30.8,87.1,1410.0,Maize,Loamy,Urea
40.9,53.3,27.9,6.07,2.19,28.1,80.5,1136.0,Cassava,Loamy,Potash
25.5,28.3,46.3,7.26,2.37,23.5,46.1,1930.0,Sorghum,Clay,Organic Compost
32.2,42.2,57.1,7.31,1.96,21.5,59.7,1165.0,Maize,Clay,Organic Compost
14.2,8.8,21.5,7.11,0.55,27.6,83.0,1597.0,Cassava,Sandy,NPK 20-10-10
47.3,22.4,27.5,5.15,1.43,25.8,53.3,1603.0,Rice,Loamy,Potash
17.6,30.9,25.0,5.87,0.92,33.3,91.2,1197.0,Rice,Loamy,Urea
54.9,38.4,50.3,7.86,2.14,27.2,44.5,425.0,Wheat,Loamy,NPK 20-10-10
25.1,31.9,31.2,7.6,0.64,22.5,83.6,1757.0,Cassava,Silt,NPK 15-15-15
50.3,25.5,29.3,5.49,1.73,36.8,59.0,1291.0,Tomato,Loamy,Potash
16.2,10.4,47.9,5.99,2.24,31.6,50.6,681.0,Rice,Silt,NPK 20-10-10
32.4,9.2,25.3,7.51,0.92,23.5,93.0,823.0,Beans,Sandy,DAP
22.9,45.4,45.2,5.9,2.24,22.3,40.2,1314.0,Beans,Loamy,NPK 20-10-10
20.9,34.3,46.8,4.83,1.27,32.9,60.4,702.0,Beans,Loamy,NPK 15-15-15
19.4,30.9,24.3,7.05,2.56,26.2,62.2,1877.0,Sorghum,Sandy,NPK 20-10-10
44.4,16.2,32.1,5.24,0.81,27.3,55.9,1674.0,Beans,Loamy,DAP
31.2,31.5,30.7,5.0,2.48,26.0,52.4,1755.0,Sorghum,Clay,Organic Compost
14.8,34.8,40.9,5.28,2.42,35.0,86.7,764.0,Maize,Silt,NPK 15-15-15
20.8,34.0,39.9,4.97,2.12,36.8,80.1,1106.0,Millet,Silt,NPK 15-15-15
27.3,29.6,27.5,5.57,0.66,22.8,67.7,1208.0,Sorghum,Sandy,NPK 15-15-15
41.0,46.4,18.4,7.23,1.89,28.5,50.4,1672.0,Cassava,Silt,Potash
32.5,34.5,15.6,6.86,1.44,37.7,45.2,1060.0,Tomato,Sandy,Potash
28.6,16.5,34.4,7.77,1.06,33.4,58.5,1370.0,Maize,Sandy,DAP
9.0,17.2,37.9,6.59,1.49,19.1,59.2,1784.0,Millet,Silt,Superphosphate
14.2,44.2,23.1,7.71,2.04,35.7,51.9,1250.0,Cassava,Loamy,Urea
17.7,9.1,48.3,7.13,1.8,32.9,69.2,1162.0,Millet,Silt,NPK 20-10-10
11.0,31.6,29.4,5.79,1.67,20.8,93.5,1845.0,Wheat,Sandy,NPK 20-10-10
27.1,28.9,23.8,4.94,0.56,37.8,44.1,612.0,Millet,Clay,Organic Compost
45.3,39.1,49.9,6.86,1.55,32.3,64.6,954.0,Tomato,Loamy,NPK 20-10-10
53.5,30.9,26.4,5.41,2.25,24.6,77.7,1770.0,Wheat,Clay,NPK 20-10-10
20.9,17.1,36.9,7.87,1.05,29.4,55.9,1287.0,Millet,Silt,DAP
